序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
18,002933,新兴装备,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:1,300万元至1,800万元,同比上年变动:-16.94%至15.01%。",15500000.0,-0.965,"公司于2026年8月3日收到参股基金陕西汇盈润信兴秦股权投资合伙企业(有限合伙)基金管理人中信建投资本管理有限公司提供的《2026年第二季度报告》,依据报告所载期末基金单位净值及公司持有的基金份额重新测算,该项投资本期公允价值变动收益较前期业绩预告预估的金额增加800万元至1,000万元,属于非经常性损益。受该事项影响,公司对归属于上市公司股东的净利润、基本每股收益预测数据予以相应上调。",续盈,15650900.0,2026-08-05
19,002933,新兴装备,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:1,230万元至1,800万元,同比上年增长:64.29%至140.42%。",15150000.0,102.355,"公司于2026年8月3日收到参股基金陕西汇盈润信兴秦股权投资合伙企业(有限合伙)基金管理人中信建投资本管理有限公司提供的《2026年第二季度报告》,依据报告所载期末基金单位净值及公司持有的基金份额重新测算,该项投资本期公允价值变动收益较前期业绩预告预估的金额增加800万元至1,000万元,属于非经常性损益。受该事项影响,公司对归属于上市公司股东的净利润、基本每股收益预测数据予以相应上调。",预增,7486800.0,2026-08-05
20,688012,中微公司,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:270,000万元至290,000万元,同比上年增长:282.48%至310.81%,同比上年增长199,400万元至219,400万元。",2800000000.0,296.645,"公司2026年上半年业绩预计较上年同期变化的主要原因如下:1、2026年上半年,公司营业收入约66.91亿元,同比增长约34.89%。公司站在先进制程工艺发展的最前沿,坚持技术的创新、产品的差异化和知识产权保护的基本原则。坚持原创的设计,和国际领先的半导体客户公司同步前行。公司目前在研项目涵盖六类设备,超二十款新设备的开发。公司研发新产品的速度显著加快,过去通常需要三到五年开发一款新设备,现在只需两年或更短时间就能开发出有竞争力的新设备,并顺利进入市场,公司有望在未来几年更大规模地推出新产品。公司持续加大研发创新力度,自主开发的各类新产品对标国际先进同类设备技术水准,多款机型经客户端验证,关键性能指标达到国际先进水平,部分指标优于海外标配设备。2、2026年上半年,公司归母净利润为27亿元到29亿元,同比增加19.94亿元至21.94亿元(增长约282.48%到310.81%)的主要原因:(1)2026年上半年营业收入增长34.89%,毛利较去年增长约6.82亿元;(2)2026年上半年公司研发投入约20.42亿元,同比增加5.50亿元(增长约36.89%),2026年上半年研发投入占公司营业收入比例约为30.52%,远高于科创板上市公司的平均研发投入水平(10%~15%)。2026年上半年研发费用约13.10亿元,较去年增长约1.93亿元(增长约17.31%);(3)经评估师评估初步结果,公司以公允价值计量且其变动计入当期损益的对外股权投资于2026年上半年产生公允价值变动收益和投资收益合计约19.82亿元,较2025年上半年的1.68亿元增加约18.15亿元。3、2026年上半年,公司扣非后归母净利润为10亿元到12亿元,同比增加4.61亿元至6.61亿元(增长约85.61%到122.73%)的主要原因:2026年上半年营业收入增长34.89%,毛利较去年增长约6.82亿元,以及2026年上半年研发费用较去年增长约1.93亿元。",预增,706000000.0,2026-08-04
21,688012,中微公司,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:100,000万元至120,000万元,同比上年增长:85.61%至122.73%,同比上年增长46,100万元至66,100万元。",1100000000.0,104.17,"公司2026年上半年业绩预计较上年同期变化的主要原因如下:1、2026年上半年,公司营业收入约66.91亿元,同比增长约34.89%。公司站在先进制程工艺发展的最前沿,坚持技术的创新、产品的差异化和知识产权保护的基本原则。坚持原创的设计,和国际领先的半导体客户公司同步前行。公司目前在研项目涵盖六类设备,超二十款新设备的开发。公司研发新产品的速度显著加快,过去通常需要三到五年开发一款新设备,现在只需两年或更短时间就能开发出有竞争力的新设备,并顺利进入市场,公司有望在未来几年更大规模地推出新产品。公司持续加大研发创新力度,自主开发的各类新产品对标国际先进同类设备技术水准,多款机型经客户端验证,关键性能指标达到国际先进水平,部分指标优于海外标配设备。2、2026年上半年,公司归母净利润为27亿元到29亿元,同比增加19.94亿元至21.94亿元(增长约282.48%到310.81%)的主要原因:(1)2026年上半年营业收入增长34.89%,毛利较去年增长约6.82亿元;(2)2026年上半年公司研发投入约20.42亿元,同比增加5.50亿元(增长约36.89%),2026年上半年研发投入占公司营业收入比例约为30.52%,远高于科创板上市公司的平均研发投入水平(10%~15%)。2026年上半年研发费用约13.10亿元,较去年增长约1.93亿元(增长约17.31%);(3)经评估师评估初步结果,公司以公允价值计量且其变动计入当期损益的对外股权投资于2026年上半年产生公允价值变动收益和投资收益合计约19.82亿元,较2025年上半年的1.68亿元增加约18.15亿元。3、2026年上半年,公司扣非后归母净利润为10亿元到12亿元,同比增加4.61亿元至6.61亿元(增长约85.61%到122.73%)的主要原因:2026年上半年营业收入增长34.89%,毛利较去年增长约6.82亿元,以及2026年上半年研发费用较去年增长约1.93亿元。",预增,539000000.0,2026-08-04
22,688012,中微公司,营业收入,"预计2026年1-6月营业收入约:669,100万元,同比上年增长:34.89%左右,同比上年增长173,100万元左右。",6691000000.0,34.89,"公司2026年上半年业绩预计较上年同期变化的主要原因如下:1、2026年上半年,公司营业收入约66.91亿元,同比增长约34.89%。公司站在先进制程工艺发展的最前沿,坚持技术的创新、产品的差异化和知识产权保护的基本原则。坚持原创的设计,和国际领先的半导体客户公司同步前行。公司目前在研项目涵盖六类设备,超二十款新设备的开发。公司研发新产品的速度显著加快,过去通常需要三到五年开发一款新设备,现在只需两年或更短时间就能开发出有竞争力的新设备,并顺利进入市场,公司有望在未来几年更大规模地推出新产品。公司持续加大研发创新力度,自主开发的各类新产品对标国际先进同类设备技术水准,多款机型经客户端验证,关键性能指标达到国际先进水平,部分指标优于海外标配设备。2、2026年上半年,公司归母净利润为27亿元到29亿元,同比增加19.94亿元至21.94亿元(增长约282.48%到310.81%)的主要原因:(1)2026年上半年营业收入增长34.89%,毛利较去年增长约6.82亿元;(2)2026年上半年公司研发投入约20.42亿元,同比增加5.50亿元(增长约36.89%),2026年上半年研发投入占公司营业收入比例约为30.52%,远高于科创板上市公司的平均研发投入水平(10%~15%)。2026年上半年研发费用约13.10亿元,较去年增长约1.93亿元(增长约17.31%);(3)经评估师评估初步结果,公司以公允价值计量且其变动计入当期损益的对外股权投资于2026年上半年产生公允价值变动收益和投资收益合计约19.82亿元,较2025年上半年的1.68亿元增加约18.15亿元。3、2026年上半年,公司扣非后归母净利润为10亿元到12亿元,同比增加4.61亿元至6.61亿元(增长约85.61%到122.73%)的主要原因:2026年上半年营业收入增长34.89%,毛利较去年增长约6.82亿元,以及2026年上半年研发费用较去年增长约1.93亿元。",略增,4961000000.0,2026-08-04
23,600889,*ST京化,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:2,000万元至2,600万元。",23000000.0,124.795,"本次业绩预告更正涉及的指标仅为2026年半年度实现归属于母公司所有者的扣除非经常性损益后的净利润。报告期内,公司通过资产置换、发行股份及支付现金的方式购买南京工艺装备制造股份有限公司(以下简称""南京工艺"")100%股份的重大资产重组完成交割,南京工艺成为公司的全资子公司。由于合并前后公司及南京工艺均为南京新工投资集团有限责任公司的控股子公司,合并前后公司与南京工艺的实际控制人均为南京市国资委,且该控制并非暂时性的。因此,本次重组事项构成同一控制下企业合并。根据《公开发行证券的公司信息披露解释性公告第1号--非经常性损益》的相关规定,同一控制下企业合并产生的子公司期初至合并日的当期净损益属于非经常性损益项目。公司本次重组构成同一控制下企业合并,置入资产南京工艺期初至合并日的当期净损益应计入非经常性损益,是本次业绩预告更正的原因。",扭亏,-92769100.0,2026-08-01
24,600889,*ST京化,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:4,000万元至4,800万元。",44000000.0,149.475,"本次业绩预告更正涉及的指标仅为2026年半年度实现归属于母公司所有者的扣除非经常性损益后的净利润。报告期内,公司通过资产置换、发行股份及支付现金的方式购买南京工艺装备制造股份有限公司(以下简称""南京工艺"")100%股份的重大资产重组完成交割,南京工艺成为公司的全资子公司。由于合并前后公司及南京工艺均为南京新工投资集团有限责任公司的控股子公司,合并前后公司与南京工艺的实际控制人均为南京市国资委,且该控制并非暂时性的。因此,本次重组事项构成同一控制下企业合并。根据《公开发行证券的公司信息披露解释性公告第1号--非经常性损益》的相关规定,同一控制下企业合并产生的子公司期初至合并日的当期净损益属于非经常性损益项目。公司本次重组构成同一控制下企业合并,置入资产南京工艺期初至合并日的当期净损益应计入非经常性损益,是本次业绩预告更正的原因。",扭亏,-88931700.0,2026-08-01
25,688836,宇树科技,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:23,600万元至28,300万元,同比上年下降:6.43%至21.97%。",259500000.0,-14.2,"受益于具身智能行业市场需求持续增长、公司业务规模扩张,2026年1-6月,公司预计实现营业收入较上年同期增加35.62%至45.41%。公司2025年1-6月归属于母公司所有者的净利润出现亏损,主要系由于当期确认了较大金额的股份支付费用。2026年1-6月,公司预计扣非后净利润出现同比下降的情况,主要系期间研发投入大幅增加、第一季度大额销售费用支出所致,较2026年一季度同比降幅将有明显缩小。",略减,302433500.0,2026-07-31
26,688836,宇树科技,营业收入,"预计2026年1-6月营业收入:105,200万元至112,800万元,同比上年增长:35.62%至45.41%。",1090000000.0,40.515,"受益于具身智能行业市场需求持续增长、公司业务规模扩张,2026年1-6月,公司预计实现营业收入较上年同期增加35.62%至45.41%。公司2025年1-6月归属于母公司所有者的净利润出现亏损,主要系由于当期确认了较大金额的股份支付费用。2026年1-6月,公司预计扣非后净利润出现同比下降的情况,主要系期间研发投入大幅增加、第一季度大额销售费用支出所致,较2026年一季度同比降幅将有明显缩小。",略增,775719200.0,2026-07-31
27,688836,宇树科技,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:25,800万元至30,600万元。",282000000.0,980.575,"受益于具身智能行业市场需求持续增长、公司业务规模扩张,2026年1-6月,公司预计实现营业收入较上年同期增加35.62%至45.41%。公司2025年1-6月归属于母公司所有者的净利润出现亏损,主要系由于当期确认了较大金额的股份支付费用。2026年1-6月,公司预计扣非后净利润出现同比下降的情况,主要系期间研发投入大幅增加、第一季度大额销售费用支出所致,较2026年一季度同比降幅将有明显缩小。",扭亏,-32024500.0,2026-07-31
28,688511,天微电子,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利约:163.25万元,同比上年下降:94.12%左右,同比上年降低2,613.93万元左右。",1632500.0,-94.12,"公司主营业务为军工产品的科研与生产经营,该类业务须依法取得有关主管部门审核颁发的相关军工资质,其中某资质证书当前处于续审和产品范围扩项审核中。报告期内,受总装厂整体任务承接节奏及整车交付进度的影响,叠加监管验收要求持续深入细化,公司现有某资质证书产品范围不完全覆盖所有受监管的产品,部分产品因资质范围未覆盖而暂不具备验收与交付条件,交付的周期延长,因此当期能完成验收与交付的合同额同比减少,导致收入下滑。同时,公司期间费用增加及资产减值损失计提增加,导致利润减少。此外,公司2025年下半年收到的商业承兑汇票在2026年上半年均已到期承兑,本期信用减值损失冲回,预计增加利润总额1,281.98万元左右。综上所述,本期处于微亏的状态。",预减,27771800.0,2026-07-31
29,688511,天微电子,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损约:742.96万元,同比上年降低2,535.31万元左右。",-7429600.0,-137.04,"公司主营业务为军工产品的科研与生产经营,该类业务须依法取得有关主管部门审核颁发的相关军工资质,其中某资质证书当前处于续审和产品范围扩项审核中。报告期内,受总装厂整体任务承接节奏及整车交付进度的影响,叠加监管验收要求持续深入细化,公司现有某资质证书产品范围不完全覆盖所有受监管的产品,部分产品因资质范围未覆盖而暂不具备验收与交付条件,交付的周期延长,因此当期能完成验收与交付的合同额同比减少,导致收入下滑。同时,公司期间费用增加及资产减值损失计提增加,导致利润减少。此外,公司2025年下半年收到的商业承兑汇票在2026年上半年均已到期承兑,本期信用减值损失冲回,预计增加利润总额1,281.98万元左右。综上所述,本期处于微亏的状态。",首亏,20060200.0,2026-07-31
30,688511,天微电子,扣除后营业收入,"预计2026年1-6月扣除后营业收入约:2,751万元。",27510000.0,,"公司主营业务为军工产品的科研与生产经营,该类业务须依法取得有关主管部门审核颁发的相关军工资质,其中某资质证书当前处于续审和产品范围扩项审核中。报告期内,受总装厂整体任务承接节奏及整车交付进度的影响,叠加监管验收要求持续深入细化,公司现有某资质证书产品范围不完全覆盖所有受监管的产品,部分产品因资质范围未覆盖而暂不具备验收与交付条件,交付的周期延长,因此当期能完成验收与交付的合同额同比减少,导致收入下滑。同时,公司期间费用增加及资产减值损失计提增加,导致利润减少。此外,公司2025年下半年收到的商业承兑汇票在2026年上半年均已到期承兑,本期信用减值损失冲回,预计增加利润总额1,281.98万元左右。综上所述,本期处于微亏的状态。",预减,82321200.0,2026-07-31
31,688511,天微电子,营业收入,"预计2026年1-6月营业收入约:2,952.74万元。",29527400.0,-64.85,"公司主营业务为军工产品的科研与生产经营,该类业务须依法取得有关主管部门审核颁发的相关军工资质,其中某资质证书当前处于续审和产品范围扩项审核中。报告期内,受总装厂整体任务承接节奏及整车交付进度的影响,叠加监管验收要求持续深入细化,公司现有某资质证书产品范围不完全覆盖所有受监管的产品,部分产品因资质范围未覆盖而暂不具备验收与交付条件,交付的周期延长,因此当期能完成验收与交付的合同额同比减少,导致收入下滑。同时,公司期间费用增加及资产减值损失计提增加,导致利润减少。此外,公司2025年下半年收到的商业承兑汇票在2026年上半年均已到期承兑,本期信用减值损失冲回,预计增加利润总额1,281.98万元左右。综上所述,本期处于微亏的状态。",预减,84008900.0,2026-07-31
32,688433,华曙高科,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利约:366.45万元,同比上年增长:115.78%左右,同比上年增长196.62万元左右。",3664500.0,115.78,"报告期内公司业绩同比实现稳健增长,主要原因是下游应用市场需求有所回暖,公司持续推进3D打印应用场景的拓展,不断挖掘3D打印多方位应用的可能性,推动下游产业化应用突破,3D打印设备销售量较上年同期增加,赋能经营业绩稳步增长。",预增,1698300.0,2026-07-31
33,688433,华曙高科,营业收入,"预计2026年1-6月营业收入约:34,052.38万元,同比上年增长:42.27%左右,同比上年增长10,116.66万元左右。",340523800.0,42.27,"报告期内公司业绩同比实现稳健增长,主要原因是下游应用市场需求有所回暖,公司持续推进3D打印应用场景的拓展,不断挖掘3D打印多方位应用的可能性,推动下游产业化应用突破,3D打印设备销售量较上年同期增加,赋能经营业绩稳步增长。",略增,239357200.0,2026-07-31
34,688433,华曙高科,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利约:843.48万元,同比上年增长:87.09%左右,同比上年增长392.64万元左右。",8434800.0,87.09,"报告期内公司业绩同比实现稳健增长,主要原因是下游应用市场需求有所回暖,公司持续推进3D打印应用场景的拓展,不断挖掘3D打印多方位应用的可能性,推动下游产业化应用突破,3D打印设备销售量较上年同期增加,赋能经营业绩稳步增长。",预增,4508400.0,2026-07-31
